Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Metland Tambun,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 160 m²LB 163 m²KM 4KT 4
Taman Permata 1 Bintaro,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 147 m²LB 125 m²KM 2KT 3
Jalan Flamboyan 2,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cibinong, Kabupaten bogor",LT 400 m²LB 295 m²KM 4KT 4
Jalan Durian Raya,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Bogor timur, Kota bogor",LT 120 m²LB 120 m²KM 3KT 4
Perumahan Serua Permai Pamulang,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 236 m²LB 175 m²KM 2KT 3
Jalan Swasembada Timur XIV Jakarta,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Tanjung priok, Kota jakarta utara",LT 210 m²LB 160 m²KM 3KT 4
Perumahan Permata Puri 1,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cimanggis, Kota depok",LT 248 m²LB 180 m²KM 3KT 4
Griya Loka BSD,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Serpong, Kota tangerang selatan",LT 176 m²LB 130 m²KM 2KT 3
Jalan Proklamasi,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Sukmajaya, Kota depok",LT 170 m²LB 130 m²KM 2KT 3
Jalan Kebembem II Jagakarsa,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 170 m²LB 140 m²KM 2KT 3
Perumahan Wartawan Purimulya,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cilodong, Kota depok",LT 318 m²LB 45 m²KM 2KT 3
Perumahan Kosambi Baru,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 126 m²LB 190 m²KM 4KT 6
Komplek Villa Gunung Lestari,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 180 m²LB 140 m²KM 2KT 3
Villa Galaxy,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 189 m²LB 120 m²KM 3KT 3
Kota Wisata Cluster Salzburg ,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 144 m²LB 144 m²KM 2KT 3
Jalan Gamprit 1,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Pondokgede, Kota bekasi",LT 205 m²LB 310 m²KM 2KT 6
Perumahan Tatya Asri,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 100 m²LB 180 m²KM 3KT 4
Perumahan Citra Garden 2,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Kalideres, Kota jakarta barat",LT 83 m²LB 130 m²KM 3KT 3
Perumahan Citra Garden 2,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Kalideres, Kota jakarta barat",LT 83 m²LB 130 m²KM 3KT 3
Perumahan Harapan Indah Cluster Aralia,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 240 m²LB 200 m²KM 4KT 3
Cluster Sukabakti Hijau,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 110 m²LB 100 m²KM 2KT 4
Perumahan Cikaret Hijau,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Bogor selatan, Kota bogor",LT 340 m²LB 280 m²KM 4KT 5
Komplek Dian Asri 2,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cibinong, Kabupaten bogor",LT 87 m²LB 174 m²KM 2KT 4
Metland Menteng Cakung Cluster Victoria,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Cakung, Kota jakarta timur",LT 160 m²LB 100 m²KM 4KT 3
Jalan Masjid 2,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Pondokgede, Kota bekasi",LT 167 m²LB 250 m²KM 3KT 4
Jalan Mekar Saluyu Bogor,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Bogor barat, Kota bogor",LT 382 m²LB 450 m²KM 9KT 9
Komplek Depdikbud,Rp 2.890.000.000,Cicilan 27.9 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 143 m²LB 185 m²KM 3KT 6
Grand Cibubur Country Cluster Cotton Wood 3,Rp 2.930.000.000,Cicilan 28.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 180 m²LB 250 m²KM 2KT 3
Raffles Hills,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Cimanggis, Kota depok",LT 160 m²LB 156 m²KM 3KT 4
Villa Kelapa Dua ,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Kebon jeruk, Kota jakarta barat",LT 108 m²LB 130 m²KM 2KT 3
Taman Laguna,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Jatisampurna, Kota bekasi",LT 162 m²LB 169 m²KM 3KT 4
Perumahan Karang Tengah Permai Blok TX,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Karang tengah, Kota tangerang",LT 170 m²LB 270 m²KM 4KT 3
Jalan Kebagusan III,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Pasar minggu, Kota jakarta selatan",LT 107 m²LB 135 m²KM 3KT 4
Jalan Jamuju Raya,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Sukmajaya, Kota depok",LT 120 m²LB 145 m²KM 3KT 4
Jalan Batu Tulis III,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Kramatjati, Kota jakarta timur",LT 109 m²LB 159 m²KM 4KT 3
Perumahan Jatibening Estate,Rp 2.960.000.000,Cicilan 28.6 Juta/bulan,"Pondokgede, Kota bekasi",LT 215 m²LB 150 m²KM 2KT 4
The Golden Stone,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 120 m²LB 126 m²KM 3KT 4
Cluster La Seine Jakarta Garden City,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Cakung, Kota jakarta timur",LT 90 m²LB 170 m²KM 5KT 5
Perumnas Depok 1,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pancoran mas, Kota depok",LT 220 m²LB 280 m²KM 4KT 5
Komplek Perumahan Pondok Kopi,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Duren sawit, Kota jakarta timur",LT 194 m²LB 115 m²KM 3KT 5
Citra Garden City Jakarta,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Kalideres, Kota jakarta barat",LT 90 m²LB 116 m²KM 3KT 3
Graha Raya Fortune Breeze,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Ciledug, Kota tangerang",LT 126 m²LB 110 m²KM 3KT 4
Harapan Indah Regency Bekasi,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Medansatria, Kota bekasi",LT 160 m²LB 220 m²KM 3KT 3
Citra Gran Cibubur,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Jatisampurna, Kota bekasi",LT 199 m²LB 230 m²KM 4KT 4
Griya Nurul Ihsan,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 116 m²LB 100 m²KM 3KT 3
Lembah Nyiur III Blok L,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Duren sawit, Kota jakarta timur",LT 134 m²LB 188 m²KM 3KT 5
Delta Barat,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 255 m²LB 200 m²KM 4KT 6
Kencana Loka BSD,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Serpong, Kota tangerang selatan",LT 160 m²LB 170 m²KM 4KT 4
Harapan Indah 2 Cluster Taman Puspa,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 150 m²LB 220 m²KM 2KT 3
Regency Melati Mas,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 120 m²LB 240 m²KM 3KT 4
"Jl Cempaka IV Bintaro, Pesanggrahan, Jakarta Selatan",Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pesanggrahan, Kota jakarta selatan",LT 174 m²LB 160 m²KM 2KT 4
Perumahan Kemang Kedaung,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 400 m²LB 220 m²KM 3KT 2
Jalan H. Matali,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Bekasi barat, Kota bekasi",LT 235 m²LB 250 m²KM 3KT 6
Golden Park 1,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 144 m²LB 130 m²KM 3KT 3
Villa Bintaro Regency,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 160 m²LB 250 m²KM 3KT 4
Jalan Pelangi V Jaka Mulya Bekasi,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 250 m²LB 110 m²KM 2KT 5
Komplek IKPN Bintaro,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pesanggrahan, Kota jakarta selatan",LT 392 m²LB 150 m²KM 3KT 6
Taman Kenari Nusantara,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 205 m²LB 150 m²KM 2KT 3
Komplek Grya Praweda ,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 182 m²LB 150 m²KM 2KT 3
Suvarna Sutera Cluster Giri,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Sindang jaya, Kabupaten tangerang",LT 180 m²LB 130 m²KM 3KT 3
Jalan Mertilang XXI,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 160 m²LB 85 m²KM 1KT 3
Kebon Bawang X,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Tanjung priok, Kota jakarta utara",LT 245 m²LB 120 m²KM 2KT 4
Graha Cinere 1,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Limo, Kota depok",LT 140 m²LB 140 m²KM 3KT 4
Panorama Bukit Cinere,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Limo, Kota depok",LT 145 m²LB 165 m²KM 3KT 4
Premier Estate,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Cipayung, Kota jakarta timur",LT 112 m²LB 120 m²KM 2KT 3
Perumahan Depok Maharaja,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Pancoran mas, Kota depok",LT 176 m²LB 230 m²KM 3KT 4
Jalan Margasatwa Cilandak,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Cilandak, Kota jakarta selatan",LT 85 m²LB 150 m²KM 4KT 4
Paramount Serpong Cluster Bohemia,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 105 m²LB 105 m²KM 4KT 3
Komplek Green Ville,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Kebon jeruk, Kota jakarta barat",LT 90 m²LB 218 m²KM 3KT 3
Perumahan Megapolitan Estate,Rp 3.020.000.000,Cicilan 29.2 Juta/bulan,"Limo, Kota depok",LT 120 m²LB 180 m²KM 4KT 3
Jalan Depsos X,Rp 3.070.000.000,Cicilan 29.6 Juta/bulan,"Pesanggrahan, Kota jakarta selatan",LT 227 m²LB 160 m²KM 2KT 5
Perum Gallery Residence,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 105 m²LB 180 m²KM 4KT 4
Jalan H. Gemin,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Jatiasih, Kota bekasi",LT 271 m²LB 210 m²KM 3KT 5
Perumahan Galaxy,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 158 m²LB 275 m²KM 4KT 7
Perumahan Graha Raya Bintaro Cluster Celesta,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 108 m²LB 150 m²KM 4KT 4
Taman Permata Cikunir,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 180 m²LB 310 m²KM 4KT 6
Permata Bintaro,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 90 m²LB 109 m²KM 2KT 4
Kota Wisata Cluster Monaco,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 153 m²LB 200 m²KM 4KT 4
Perumahan Taman Semanan Indah,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Kalideres, Kota jakarta barat",LT 90 m²LB 120 m²KM 2KT 4
Kavling Bungur,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 149 m²LB 200 m²KM 3KT 4
Komplek Bappenas Sawangan,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Sawangan, Kota depok",LT 120 m²LB 208 m²KM 2KT 2
Taman Britania,Rp 3.080.000.000,Cicilan 29.7 Juta/bulan,"Karawaci, Kota tangerang",LT 150 m²LB 90 m²KM 2KT 2
Jalan Kemuning Dalam 1,Rp 3.090.000.000,Cicilan 29.8 Juta/bulan,"Pasar minggu, Kota jakarta selatan",LT 182 m²LB 210 m²KM 3KT 6
Nusa Loka BSD,Rp 3.130.000.000,Cicilan 30.2 Juta/bulan,"Serpong, Kota tangerang selatan",LT 112 m²LB 190 m²KM 4KT 4
Taman Cimangu Permai,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tanah sareal, Kota bogor",LT 350 m²LB 148 m²KM 3KT 3
Bumi Pusaka Cinere,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cinere, Kota depok",LT 170 m²LB 240 m²KM 2KT 5
Assalam Cluster,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Ciracas, Kota jakarta timur",LT 231 m²LB 200 m²KM 3KT 3
Jl. Pangkalan Jati II,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cinere, Kota depok",LT 320 m²LB 200 m²KM 3KT 5
Jalan Marabahan,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Gambir, Kota jakarta pusat",LT 117 m²LB 80 m²KM 1KT 2
Jl. H. Som,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 182 m²LB 160 m²KM 2KT 2
Bukit Nirwana Residence 2,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bogor selatan, Kota bogor",LT 230 m²LB 112 m²KM 4KT 5
Citra Gran Cluster Central Garden,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 161 m²LB 151 m²KM 3KT 3
Griya Depok Asri,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Sukmajaya, Kota depok",LT 200 m²LB 174 m²KM 6KT 6
Komp Pamulang Permai,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 144 m²LB 200 m²KM 6KT 4
Taman Royal 2 jalan Majapahit timur,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cipondoh, Kota tangerang",LT 180 m²LB 200 m²KM 4KT 3
Jalan Taman Ubud Permai,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Curug, Kabupaten tangerang",LT 135 m²LB 230 m²KM 2KT 3
Griya Metropolitan Bekasi,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 157 m²LB 295 m²KM 4KT 5
Jalan Utama Selatan,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 150 m²LB 150 m²KM 1KT 4
Perumahan Pesona Metropolitan Cluster Botania Bekasi,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Rawalumbu, Kota bekasi",LT 280 m²LB 140 m²KM 3KT 4
Jalan Gandaria I,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bogor utara, Kota bogor",LT 254 m²LB 150 m²KM 3KT 4
Vila Ciater Puri Gading,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondokmelati, Kota bekasi",LT 180 m²LB 350 m²KM 4KT 4
Griyaloka BSD,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 162 m²LB 162 m²KM 2KT 2
Jalan Pal Batu Raya,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tebet, Kota jakarta selatan",LT 111 m²LB 120 m²KM 2KT 4
Villa Mutiara Cibubur 1,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cimanggis, Kota depok",LT 132 m²LB 120 m²KM 4KT 4
Komplek DKI Kembangan,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kembangan, Kota jakarta barat",LT 135 m²LB 250 m²KM 3KT 6
Perumnas Depok Utara,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Beji, Kota depok",LT 191 m²LB 158 m²KM 2KT 5
Jalan Malati 5,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 182 m²LB 198 m²KM 2KT 4
Villa Pamulang Mas,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 264 m²LB 105 m²KM 4KT 4
Sentul City Cluster Taman Legian,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Babakan madang, Kabupaten bogor",LT 333 m²LB 172 m²KM 4KT 3
Cibubur Residence,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 185 m²LB 56 m²KM 2KT 2
CITRA 2,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kalideres, Kota jakarta barat",LT 144 m²LB 200 m²KM 2KT 4
Carlton Private Residence,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tapos, Kota depok",LT 135 m²LB 200 m²KM 4KT 5
Lippo Cikarang Meadow Green,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cikarang selatan, Kabupaten bekasi",LT 277 m²LB 250 m²KM 2KT 5
Citra Gran Cibubur,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 170 m²LB 160 m²KM 3KT 5
Puri Beta 2 Cluster Kiara Payung,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Larangan, Kota tangerang",LT 75 m²LB 130 m²KM 2KT 3
Jln. Kolonel Soetomo Cawang,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Makasar, Kota jakarta timur",LT 152 m²LB 200 m²KM 3KT 6
Telaga Golf Sawangan Cluster Espanola,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Sawangan, Kota depok",LT 280 m²LB 200 m²KM 4KT 4
"Perumahan Cluster Melati Hills, Bojongsari - Kota Depok",Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bojongsari, Kota depok",LT 340 m²LB 200 m²KM 3KT 4
Jalan Puspita Raya Blok AA,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pesanggrahan, Kota jakarta selatan",LT 120 m²LB 200 m²KM 2KT 3
Kencana Loka BSD,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 220 m²LB 320 m²KM 5KT 5
Jalan Balai Rakyat Dalam,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Koja, Kota jakarta utara",LT 170 m²LB 220 m²KM 2KT 4
Lippo Karawaci,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Curug, Kabupaten tangerang",LT 160 m²LB 200 m²KM 2KT 4
Pondok Pekayon Indah Bekasi,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 261 m²LB 243 m²KM 3KT 3
Perumahan Mahkota Simprug,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Ciledug, Kota tangerang",LT 144 m²LB 250 m²KM 4KT 4
Perum Daan Mogot Estate,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 96 m²LB 112 m²KM 3KT 5
Jalan Anggrek Bulan III,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bogor barat, Kota bogor",LT 222 m²LB 266 m²KM 4KT 5
Bangun Reksa Indah,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Karang tengah, Kota tangerang",LT 180 m²LB 180 m²KM 2KT 4
Harapan Indah Cluster Arana,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 144 m²LB 124 m²KM 2KT 3
Kompleks Bumi Pusaka Cinere,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cinere, Kota depok",LT 230 m²LB 190 m²KM 3KT 5
Komplek Bakti Jaya Luk,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 187 m²LB 250 m²KM 3KT 4
Perumahan Grand Cibubur,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 238 m²LB 340 m²KM 4KT 5
Bukit Serpong mas,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 200 m²LB 180 m²KM 2KT 3
Kota Wisata Cibubur,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 152 m²LB 135 m²KM 4KT 3
Villa Mutiara Gading 2 Cluster Alamanda,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 144 m²LB 190 m²KM 4KT 4
Citra Raya Cikupa Cluster The Leaf,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cikupa, Kabupaten tangerang",LT 140 m²LB 150 m²KM 3KT 4
Nusa Loka BSD,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 134 m²LB 160 m²KM 5KT 4
Jalan Bambu,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 258 m²LB 350 m²KM 2KT 5
Nusa Loka BSD Neo Catalonia,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 169 m²LB 140 m²KM 3KT 3
Komplek Mega Cinere ,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cinere, Kota depok",LT 154 m²LB 136 m²KM 3KT 4
Gema Pesona Estate,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Sukmajaya, Kota depok",LT 120 m²LB 160 m²KM 3KT 3
Perumahan Medang Lestari,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pagedangan, Kabupaten tangerang",LT 120 m²LB 270 m²KM 10KT 10
Kavling Hankam,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kembangan, Kota jakarta barat",LT 275 m²LB 160 m²KM 3KT 2
Cipulir Permai,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kebayoran lama, Kota jakarta selatan",LT 140 m²LB 200 m²KM 4KT 6
Jalan Barito,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 202 m²LB 133 m²KM 2KT 3
Jalan Masjid Al-Arifiyah,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondokgede, Kota bekasi",LT 119 m²LB 101 m²KM 4KT 4
Green Park Residence,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondokmelati, Kota bekasi",LT 148 m²LB 120 m²KM 4KT 4
Pesona Khayangan Juanda,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Sukmajaya, Kota depok",LT 160 m²LB 128 m²KM 2KT 3
Grand Depok City Cluster Lantana,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Cilodong, Kota depok",LT 144 m²LB 200 m²KM 5KT 3
Jalan Merpati ,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 156 m²LB 220 m²KM 4KT 7
Komplek Jaladhapura,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bekasi timur, Kota bekasi",LT 290 m²LB 180 m²KM 3KT 4
Taman Surya 3,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kalideres, Kota jakarta barat",LT 156 m²LB 60 m²KM 2KT 3
Cluster Mahoni Royal,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tangerang, Kota tangerang",LT 120 m²LB 200 m²KM 6KT 6
Jalan Haji Sait Muni,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 311 m²LB 200 m²KM 3KT 4
Jl. Duren Sawit komplek PTB ,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Duren sawit, Kota jakarta timur",LT 111 m²LB 250 m²KM 2KT 4
Jalan Cibodas Raya,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Karawaci, Kota tangerang",LT 169 m²LB 396 m²KM 3KT 5
Islamic Village Karawaci,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 150 m²LB 200 m²KM 3KT 6
Jalan Poncol Indah Raya Ciputat,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 205 m²LB 160 m²KM 3KT 5
Palem Raya,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pesanggrahan, Kota jakarta selatan",LT 300 m²LB 220 m²KM 3KT 5
Bogor Country,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Tanah sareal, Kota bogor",LT 256 m²LB 200 m²KM 4KT 5
Kota Wisata Cluster Paris,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 180 m²LB 210 m²KM 4KT 3
Perumahan Bumidaya Bogor,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 276 m²LB 287 m²KM 5KT 5
Islamic Village,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 180 m²LB 180 m²KM 3KT 4
Perumahan Mediterania Regency Cikunir,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 105 m²LB 250 m²KM 2KT 4
Jalan Limo Raya Depok,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Limo, Kota depok",LT 300 m²LB 270 m²KM 3KT 5
Jalan Kampung Rawa II,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Kebon jeruk, Kota jakarta barat",LT 100 m²LB 230 m²KM 3KT 4
Jalan Muhasyim 1,Rp 3.140.000.000,Cicilan 30.3 Juta/bulan,"Pancoran mas, Kota depok",LT 800 m²LB 600 m²KM 5KT 9
